Year,Area,Mean Score
2015-16,Barking and Dagenham,49.7
2015-16,Kensington and Chelsea,56.6
2015-16,London,51.9
2015-16,England,50.1
2016-17,Barking and Dagenham,46.7
2016-17,Kensington and Chelsea,55.0
2016-17,London,48.9
2016-17,England,46.4
2017-18,Barking and Dagenham,46.1
2017-18,Kensington and Chelsea,51.6
2017-18,London,49.4
2017-18,England,44.5
2018-19,Barking and Dagenham,46.4
2018-19,Kensington and Chelsea,53.6
2018-19,London,49.7
2018-19,England,46.8
2019-20,Barking and Dagenham,49.7
2019-20,Kensington and Chelsea,58.0
2019-20,London,53.2
2019-20,England,50.2
2020-21,Barking and Dagenham,50.5
2020-21,Kensington and Chelsea,57.9
2020-21,London,54.1
2020-21,England,50.9
